slot,dataset,attachment_point,requests,hop_budget,min_hop,reason
89,1,8,1,1,inf,uncovered_within_hop_budget
89,4,8,1,1,inf,uncovered_within_hop_budget
89,4,4,1,1,inf,uncovered_within_hop_budget
89,6,9,1,1,inf,uncovered_within_hop_budget
90,1,5,1,1,inf,uncovered_within_hop_budget
90,2,0,1,1,inf,uncovered_within_hop_budget
90,2,1,1,1,inf,uncovered_within_hop_budget
90,2,2,2,1,inf,uncovered_within_hop_budget
90,2,4,1,1,inf,uncovered_within_hop_budget
90,2,7,2,1,inf,uncovered_within_hop_budget
90,3,7,1,1,inf,uncovered_within_hop_budget
91,1,0,1,1,inf,uncovered_within_hop_budget
91,1,2,1,1,inf,uncovered_within_hop_budget
91,1,3,1,1,inf,uncovered_within_hop_budget
91,1,4,2,1,inf,uncovered_within_hop_budget
91,1,5,1,1,inf,uncovered_within_hop_budget
91,3,5,1,1,inf,uncovered_within_hop_budget
91,3,7,1,1,inf,uncovered_within_hop_budget
91,4,4,1,1,inf,uncovered_within_hop_budget
91,5,6,1,1,inf,uncovered_within_hop_budget
92,1,1,2,1,inf,uncovered_within_hop_budget
92,1,2,1,1,inf,uncovered_within_hop_budget
92,1,4,1,1,inf,uncovered_within_hop_budget
92,1,5,2,1,inf,uncovered_within_hop_budget
92,1,6,1,1,inf,uncovered_within_hop_budget
92,2,9,2,1,inf,uncovered_within_hop_budget
92,4,0,1,1,inf,uncovered_within_hop_budget
92,5,7,1,1,inf,uncovered_within_hop_budget
92,6,6,1,1,inf,uncovered_within_hop_budget
93,1,0,1,1,inf,uncovered_within_hop_budget
93,1,2,1,1,inf,uncovered_within_hop_budget
93,1,5,1,1,inf,uncovered_within_hop_budget
93,1,8,1,1,inf,uncovered_within_hop_budget
93,2,0,1,1,inf,uncovered_within_hop_budget
93,2,2,1,1,inf,uncovered_within_hop_budget
93,2,1,1,1,inf,uncovered_within_hop_budget
93,3,5,1,1,inf,uncovered_within_hop_budget
93,6,1,1,1,inf,uncovered_within_hop_budget
94,1,0,1,1,inf,uncovered_within_hop_budget
94,1,1,1,1,inf,uncovered_within_hop_budget
94,1,2,2,1,inf,uncovered_within_hop_budget
94,1,9,1,1,inf,uncovered_within_hop_budget
94,2,2,1,1,inf,uncovered_within_hop_budget
94,4,2,1,1,inf,uncovered_within_hop_budget
94,5,8,1,1,inf,uncovered_within_hop_budget
95,1,3,1,1,inf,uncovered_within_hop_budget
95,1,6,2,1,inf,uncovered_within_hop_budget
95,2,0,1,1,inf,uncovered_within_hop_budget
95,2,4,1,1,inf,uncovered_within_hop_budget
95,4,4,1,1,inf,uncovered_within_hop_budget
96,1,2,1,1,inf,uncovered_within_hop_budget
96,1,4,1,1,inf,uncovered_within_hop_budget
96,1,5,1,1,inf,uncovered_within_hop_budget
96,1,6,1,1,inf,uncovered_within_hop_budget
96,1,8,1,1,inf,uncovered_within_hop_budget
96,2,3,1,1,inf,uncovered_within_hop_budget
96,4,2,1,1,inf,uncovered_within_hop_budget
96,4,4,1,1,inf,uncovered_within_hop_budget
96,5,6,1,1,inf,uncovered_within_hop_budget
96,5,0,1,1,inf,uncovered_within_hop_budget
96,7,9,1,1,inf,uncovered_within_hop_budget
97,1,1,1,1,inf,uncovered_within_hop_budget
97,1,2,1,1,inf,uncovered_within_hop_budget
97,1,9,1,1,inf,uncovered_within_hop_budget
97,2,9,1,1,inf,uncovered_within_hop_budget
97,4,9,1,1,inf,uncovered_within_hop_budget
97,4,4,1,1,inf,uncovered_within_hop_budget
97,4,5,1,1,inf,uncovered_within_hop_budget
97,6,2,1,1,inf,uncovered_within_hop_budget
98,2,1,1,1,inf,uncovered_within_hop_budget
98,2,9,1,1,inf,uncovered_within_hop_budget
98,6,2,1,1,inf,uncovered_within_hop_budget
98,6,5,1,1,inf,uncovered_within_hop_budget
98,6,7,1,1,inf,uncovered_within_hop_budget
99,2,4,1,1,inf,uncovered_within_hop_budget
99,3,5,1,1,inf,uncovered_within_hop_budget
99,4,6,1,1,inf,uncovered_within_hop_budget
99,4,9,1,1,inf,uncovered_within_hop_budget
99,5,7,1,1,inf,uncovered_within_hop_budget
99,6,8,1,1,inf,uncovered_within_hop_budget
100,2,4,2,1,inf,uncovered_within_hop_budget
100,2,5,1,1,inf,uncovered_within_hop_budget
100,4,2,1,1,inf,uncovered_within_hop_budget
101,4,1,1,1,inf,uncovered_within_hop_budget
101,5,2,1,1,inf,uncovered_within_hop_budget
101,5,7,2,1,inf,uncovered_within_hop_budget
101,6,2,1,1,inf,uncovered_within_hop_budget
102,2,4,1,1,inf,uncovered_within_hop_budget
102,2,8,1,1,inf,uncovered_within_hop_budget
102,4,0,1,1,inf,uncovered_within_hop_budget
102,5,2,1,1,inf,uncovered_within_hop_budget
103,2,0,1,1,inf,uncovered_within_hop_budget
103,2,1,1,1,inf,uncovered_within_hop_budget
103,2,3,1,1,inf,uncovered_within_hop_budget
103,2,7,1,1,inf,uncovered_within_hop_budget
104,2,5,1,1,inf,uncovered_within_hop_budget
105,1,1,1,1,inf,uncovered_within_hop_budget
105,1,5,1,1,inf,uncovered_within_hop_budget
105,2,1,1,1,inf,uncovered_within_hop_budget
105,2,5,2,1,inf,uncovered_within_hop_budget
105,2,0,1,1,inf,uncovered_within_hop_budget
105,2,4,2,1,inf,uncovered_within_hop_budget
105,2,7,1,1,inf,uncovered_within_hop_budget
105,2,9,1,1,inf,uncovered_within_hop_budget
105,4,7,1,1,inf,uncovered_within_hop_budget
105,4,9,1,1,inf,uncovered_within_hop_budget
105,5,2,1,1,inf,uncovered_within_hop_budget
106,1,1,1,1,inf,uncovered_within_hop_budget
106,1,4,1,1,inf,uncovered_within_hop_budget
106,1,6,1,1,inf,uncovered_within_hop_budget
106,1,9,1,1,inf,uncovered_within_hop_budget
106,2,2,1,1,inf,uncovered_within_hop_budget
106,2,7,1,1,inf,uncovered_within_hop_budget
106,2,8,1,1,inf,uncovered_within_hop_budget
106,4,9,1,1,inf,uncovered_within_hop_budget
106,4,2,2,1,inf,uncovered_within_hop_budget
106,4,7,2,1,inf,uncovered_within_hop_budget
106,5,2,3,1,inf,uncovered_within_hop_budget
106,6,3,1,1,inf,uncovered_within_hop_budget
107,1,1,2,1,inf,uncovered_within_hop_budget
107,1,2,1,1,inf,uncovered_within_hop_budget
107,1,3,1,1,inf,uncovered_within_hop_budget
107,1,4,1,1,inf,uncovered_within_hop_budget
107,1,8,1,1,inf,uncovered_within_hop_budget
107,2,5,1,1,inf,uncovered_within_hop_budget
107,4,5,1,1,inf,uncovered_within_hop_budget
107,4,9,1,1,inf,uncovered_within_hop_budget
108,1,1,1,1,inf,uncovered_within_hop_budget
108,1,2,2,1,inf,uncovered_within_hop_budget
108,1,4,2,1,inf,uncovered_within_hop_budget
108,1,5,1,1,inf,uncovered_within_hop_budget
108,1,8,1,1,inf,uncovered_within_hop_budget
108,2,1,2,1,inf,uncovered_within_hop_budget
108,2,2,2,1,inf,uncovered_within_hop_budget
108,2,5,1,1,inf,uncovered_within_hop_budget
108,4,1,1,1,inf,uncovered_within_hop_budget
108,4,2,1,1,inf,uncovered_within_hop_budget
108,5,4,1,1,inf,uncovered_within_hop_budget
109,1,0,1,1,inf,uncovered_within_hop_budget
109,1,4,1,1,inf,uncovered_within_hop_budget
109,1,8,1,1,inf,uncovered_within_hop_budget
