COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 38186
Overall violation ratio: 1.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
  484             7           7              1.0
  485             9           9              1.0
  486            13          13              1.0
  487            10          10              1.0
  488            25          25              1.0
  489             9           9              1.0
  490             9           9              1.0
  491            11          11              1.0
  492             4           4              1.0
  493             7           7              1.0
  494            19          19              1.0
  495            15          15              1.0
  496            10          10              1.0
  497            15          15              1.0
  498            13          13              1.0
  499             7           7              1.0
  500            16          16              1.0
  501            17          17              1.0
  502            19          19              1.0
  503            13          13              1.0
  504            18          18              1.0
  505             8           8              1.0
  506             8           8              1.0
  507            13          13              1.0
  508            17          17              1.0
  509            22          22              1.0
  510            19          19              1.0
  511            15          15              1.0
  512            14          14              1.0
  513            13          13              1.0
  514            12          12              1.0
  515            20          20              1.0
  516             9           9              1.0
  517            10          10              1.0
  518             9           9              1.0
  519             6           6              1.0
  520            13          13              1.0
  521            19          19              1.0
  522            16          16              1.0
  523            21          21              1.0
  524            12          12              1.0
  525            15          15              1.0
  526             6           6              1.0
  527             5           5              1.0
  528            16          16              1.0
  529            16          16              1.0
  530            10          10              1.0
  531            22          22              1.0
  532            14          14              1.0
  533             6           6              1.0
  534             7           7              1.0
  535            10          10              1.0
  536            14          14              1.0
  537            10          10              1.0
  538            13          13              1.0
  539             8           8              1.0
  540            11          11              1.0
  541             7           7              1.0
  542            15          15              1.0
  543            18          18              1.0
  544            18          18              1.0
  545            19          19              1.0
  546             6           6              1.0
  547             4           4              1.0
  548             6           6              1.0
  549            10          10              1.0
  550            17          17              1.0
  551            17          17              1.0
  552            11          11              1.0
  553            10          10              1.0
  554             3           3              1.0
  555             9           9              1.0
  556            15          15              1.0
  557            15          15              1.0
  558            11          11              1.0
  559             5           5              1.0
  560            16          16              1.0
  561            13          13              1.0
  562            12          12              1.0
  563            15          15              1.0
  564            15          15              1.0
  565            17          17              1.0
  566            20          20              1.0
  567            15          15              1.0
  568            10          10              1.0
  569             7           7              1.0
  570            16          16              1.0
  571            24          24              1.0
  572            18          18              1.0
  573            16          16              1.0
  574             9           9              1.0
  575             8           8              1.0
  576             5           5              1.0
  577            21          21              1.0
  578            29          29              1.0
  579            21          21              1.0
  580            18          18              1.0
  581            17          17              1.0
  582             6           6              1.0
  583             8           8              1.0
  584            20          20              1.0
  585            24          24              1.0
  586            21          21              1.0
  587            18          18              1.0
  588            20          20              1.0
  589            11          11              1.0
  590            10          10              1.0
  591            24          24              1.0
  592            29          29              1.0
  593            28          28              1.0
  594            12          12              1.0
  595            20          20              1.0
  596             7           7              1.0
  597            12          12              1.0
  598            28          28              1.0
  599            22          22              1.0
  600            22          22              1.0
  601            19          19              1.0
  602            17          17              1.0
  603            16          16              1.0
  604            15          15              1.0
  605            13          13              1.0
  606            21          21              1.0
  607            21          21              1.0
  608            26          26              1.0
  609            28          28              1.0
  610            15          15              1.0
  611             7           7              1.0
  612            15          15              1.0
  613            19          19              1.0
  614            10          10              1.0
  615            23          23              1.0
  616            14          14              1.0
  617             9           9              1.0
  618             8           8              1.0
  619            30          30              1.0
