Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
102,0.7735,1.0000,0.0735,N/A,N/A,0.3000,3,3,0.12
103,0.9203,1.0000,0.0203,N/A,N/A,0.1000,1,3,0.12
104,1.0112,1.0000,0.1112,N/A,N/A,0.1000,1,1,0.09
105,0.5211,1.0000,0.0211,N/A,N/A,0.5000,5,1,0.17
106,0.3405,0.6000,0.0405,N/A,N/A,0.3000,3,3,0.18
107,0.5350,0.8000,0.0350,N/A,N/A,0.3000,3,4,0.15
108,0.4641,0.7500,0.0141,N/A,N/A,0.3000,3,3,0.15
109,0.6268,1.0000,0.0268,N/A,N/A,0.4000,4,4,0.14
110,0.7656,1.0000,0.0656,N/A,N/A,0.3000,3,4,0.13
111,0.6226,1.0000,0.0226,N/A,N/A,0.4000,4,3,0.14
112,0.5599,1.0000,0.0599,N/A,N/A,0.5000,5,4,0.14
113,0.5724,1.0000,0.0724,N/A,N/A,0.5000,5,5,0.15
114,0.5452,0.8000,0.0452,N/A,N/A,0.3000,3,4,0.15
115,0.2818,0.7500,0.0318,N/A,N/A,0.5000,5,3,0.16
116,0.4799,0.6667,0.0132,N/A,N/A,0.2000,2,4,0.15
117,0.6389,1.0000,0.0389,N/A,N/A,0.4000,4,4,0.15
118,0.6561,1.0000,0.0561,N/A,N/A,0.4000,4,4,0.13
119,0.4891,0.7500,0.0391,N/A,N/A,0.3000,3,3,0.14
120,0.2425,0.5000,0.0425,N/A,N/A,0.3000,3,2,0.16
121,0.6364,0.8000,0.0364,N/A,N/A,0.2000,2,4,0.14
122,0.6398,1.0000,0.0398,N/A,N/A,0.4000,4,3,0.15
123,0.8140,1.0000,0.0140,N/A,N/A,0.2000,2,4,0.13
124,0.8710,1.0000,0.0710,N/A,N/A,0.2000,2,2,0.11
125,0.7302,1.0000,0.0302,N/A,N/A,0.3000,3,2,0.14
126,0.6527,1.0000,0.0527,N/A,N/A,0.4000,4,3,0.14
127,0.6083,0.7500,0.0583,N/A,N/A,0.2000,2,3,0.12
128,0.6603,0.6667,0.0937,N/A,N/A,0.1000,1,2,0.11
129,0.7316,1.0000,0.0316,N/A,N/A,0.3000,3,2,0.15
130,0.7718,1.0000,0.0718,N/A,N/A,0.3000,3,3,0.12
131,0.8691,1.0000,0.0691,N/A,N/A,0.2000,2,3,0.11
132,0.8000,1.0000,0.0000,N/A,N/A,0.2000,2,2,0.13
133,0.3398,0.5000,0.0398,N/A,N/A,0.2000,2,1,0.13
134,0.7027,1.0000,0.1027,N/A,N/A,0.4000,4,3,0.12
135,0.1331,0.7500,0.0831,N/A,N/A,0.7000,7,3,0.17
136,0.0643,0.5000,0.0643,N/A,N/A,0.5000,5,4,0.16
137,0.6862,0.8889,0.0973,N/A,N/A,0.3000,3,8,0.13
138,0.6906,1.0000,0.0906,N/A,N/A,0.4000,4,4,0.14
139,0.7540,1.0000,0.0540,N/A,N/A,0.3000,3,4,0.13
140,0.8999,1.0000,0.0999,N/A,N/A,0.2000,2,3,0.11
141,0.8537,1.0000,0.0537,N/A,N/A,0.2000,2,2,0.12
142,0.6878,1.0000,0.0878,N/A,N/A,0.4000,4,2,0.13
143,0.8786,1.0000,0.0786,N/A,N/A,0.2000,2,4,0.11
144,0.7630,1.0000,0.0630,N/A,N/A,0.3000,3,2,0.12
145,0.8385,1.0000,0.0385,N/A,N/A,0.2000,2,3,0.11
146,1.0198,1.0000,0.1198,N/A,N/A,0.1000,1,2,0.09
