COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 0
Overall violation ratio: 0.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
  696            28           0              0.0
  697            33           0              0.0
  698            30           0              0.0
  699            26           0              0.0
  700            24           0              0.0
  701            17           0              0.0
  702             6           0              0.0
  703            23           0              0.0
  704            37           0              0.0
  705            22           0              0.0
  706            24           0              0.0
  707            19           0              0.0
  708            19           0              0.0
  709            14           0              0.0
  710            31           0              0.0
  711            24           0              0.0
  712            21           0              0.0
  713            13           0              0.0
  714            10           0              0.0
  715            11           0              0.0
  716            12           0              0.0
  717            15           0              0.0
  718            26           0              0.0
  719            19           0              0.0
  720             7           0              0.0
  721            19           0              0.0
  722            15           0              0.0
  723            11           0              0.0
  724            25           0              0.0
  725            27           0              0.0
  726             6           0              0.0
  727            22           0              0.0
  728            30           0              0.0
  729            21           0              0.0
  730            27           0              0.0
  731            30           0              0.0
  732            31           0              0.0
  733            29           0              0.0
  734            27           0              0.0
  735            15           0              0.0
  736            17           0              0.0
  737            24           0              0.0
  738            24           0              0.0
  739            17           0              0.0
  740            29           0              0.0
  741            37           0              0.0
  742            28           0              0.0
  743            18           0              0.0
  744            24           0              0.0
  745            31           0              0.0
  746            36           0              0.0
  747            33           0              0.0
  748            33           0              0.0
  749            44           0              0.0
  750            25           0              0.0
  751            30           0              0.0
  752            33           0              0.0
  753            38           0              0.0
  754            31           0              0.0
  755            29           0              0.0
  756            41           0              0.0
  757            23           0              0.0
  758            18           0              0.0
  759            20           0              0.0
  760            44           0              0.0
  761            34           0              0.0
  762            31           0              0.0
  763            34           0              0.0
  764            16           0              0.0
  765            19           0              0.0
  766            32           0              0.0
  767            31           0              0.0
  768            16           0              0.0
  769            18           0              0.0
  770            24           0              0.0
  771             7           0              0.0
  772            15           0              0.0
  773            16           0              0.0
  774            23           0              0.0
  775            22           0              0.0
  776            21           0              0.0
  777            20           0              0.0
  778            17           0              0.0
  779            27           0              0.0
  780            29           0              0.0
  781            29           0              0.0
  782            24           0              0.0
  783            24           0              0.0
  784            27           0              0.0
  785            28           0              0.0
  786            26           0              0.0
  787            35           0              0.0
  788            27           0              0.0
  789            36           0              0.0
  790            27           0              0.0
  791            30           0              0.0
  792            21           0              0.0
  793            20           0              0.0
  794            31           0              0.0
  795            31           0              0.0
  796            29           0              0.0
  797            22           0              0.0
  798            30           0              0.0
  799            25           0              0.0
  800            18           0              0.0
  801            21           0              0.0
  802            26           0              0.0
  803            26           0              0.0
  804            18           0              0.0
  805            18           0              0.0
  806            13           0              0.0
  807            14           0              0.0
  808            25           0              0.0
  809            26           0              0.0
  810            27           0              0.0
  811            23           0              0.0
  812            24           0              0.0
  813            24           0              0.0
  814            16           0              0.0
  815            19           0              0.0
  816            24           0              0.0
  817            27           0              0.0
  818            28           0              0.0
  819            18           0              0.0
  820            18           0              0.0
  821            12           0              0.0
  822            22           0              0.0
  823            27           0              0.0
  824            26           0              0.0
  825            22           0              0.0
  826            28           0              0.0
  827            13           0              0.0
  828            17           0              0.0
  829            34           0              0.0
  830            24           0              0.0
  831            22           0              0.0
  832            20           0              0.0
  833            23           0              0.0
  834            14           0              0.0
  835            18           0              0.0
  836            22           0              0.0
  837            30           0              0.0
  838            21           0              0.0
  839            26           0              0.0
  840            16           0              0.0
  841            19           0              0.0
  842            20           0              0.0
  843            19           0              0.0
  844            31           0              0.0
  845            23           0              0.0
  846            20           0              0.0
  847            22           0              0.0
  848             9           0              0.0
  849            15           0              0.0
  850            19           0              0.0
  851            32           0              0.0
  852            22           0              0.0
  853            25           0              0.0
  854            17           0              0.0
  855            10           0              0.0
  856            10           0              0.0
  857            27           0              0.0
  858            28           0              0.0
  859            26           0              0.0
  860            17           0              0.0
  861            27           0              0.0
  862            13           0              0.0
  863            18           0              0.0
  864            27           0              0.0
  865            41           0              0.0
  866            52           0              0.0
  867            35           0              0.0
  868            38           0              0.0
  869            27           0              0.0
  870            34           0              0.0
  871            40           0              0.0
  872            52           0              0.0
  873            37           0              0.0
  874            36           0              0.0
  875            33           0              0.0
  876            23           0              0.0
  877            22           0              0.0
  878            31           0              0.0
  879            38           0              0.0
  880            43           0              0.0
  881            37           0              0.0
  882            35           0              0.0
