slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
33,32,6,3,3,"ADD:4,8;ADD:5,7;ADD:6,7;REMOVE:3,6;REMOVE:4,6;REMOVE:5,1",0:-;1:-;2:-;3:6;4:6;5:1;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:7;6:7;7:-;8:-;9:-,4@4=1;4@7=1;4@8=1;5@7=1;5@1=1;6@1=1;6@0=1;6@2=1,"4,7,8,1,0,2",8,8,8,0,1.0,0.7212537412460596,1.0,0.021253741246059506,0.0,0.0,0.30000000000000004,0.13475418090820312,Feasible|selected=greedy
34,33,4,1,3,"ADD:4,4;REMOVE:4,8;REMOVE:5,7;REMOVE:6,7",0:-;1:-;2:-;3:-;4:8;5:7;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,4@4=1,4,1,1,1,0,1.0,1.0154298386556069,1.0,0.11542983865560696,0.0,0.0,0.1,0.08882594108581543,Feasible|selected=greedy
35,34,3,2,1,"ADD:4,9;ADD:6,7;REMOVE:4,4",0:-;1:-;2:-;3:-;4:4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:9;5:-;6:7;7:-;8:-;9:-,4@3=1;4@6=1;6@4=1;6@9=1,"3,6,4,9",4,4,4,0,1.0,0.8,1.0,0.0,0.0,0.0,0.2,0.1329326629638672,Feasible|selected=greedy
36,35,4,3,1,"ADD:3,8;ADD:4,7;ADD:5,3;REMOVE:4,9",0:-;1:-;2:-;3:-;4:9;5:-;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:8;4:7;5:3;6:7;7:-;8:-;9:-,3@8=1;4@4=1;4@7=1;4@9=1;5@3=2;6@0=2;6@2=1;6@6=1,"8,4,7,9,3,0,2,6",10,8,8,0,1.0,0.23967500190495994,0.5,0.03967500190496,0.0,0.0,0.30000000000000004,0.1377248764038086,Feasible|selected=greedy
37,36,2,0,2,"REMOVE:3,8;REMOVE:5,3",0:-;1:-;2:-;3:8;4:7;5:3;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:7;7:-;8:-;9:-,4@1=1;6@0=1;6@6=1,"1,0,6",3,3,3,0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.007698774337768555,Feasible|selected=gnn_ppo
38,37,0,0,0,-,0:-;1:-;2:-;3:-;4:7;5:-;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:7;7:-;8:-;9:-,4@6=1;6@3=1;6@9=1,"6,3,9",3,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033898353576660156,Feasible|selected=gnn_ppo
39,38,2,1,1,"ADD:6,4;REMOVE:6,7",0:-;1:-;2:-;3:-;4:7;5:-;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:4;7:-;8:-;9:-,4@3=1;4@7=1;6@4=1,"3,7,4",3,3,3,0,1.0,0.4618914657032108,0.5,0.06189146570321083,0.0,0.0,0.1,0.10557985305786133,Feasible|selected=greedy
40,39,5,3,2,"ADD:2,2;ADD:4,1;ADD:4,4;REMOVE:4,7;REMOVE:6,4",0:-;1:-;2:-;3:-;4:7;5:-;6:4;7:-;8:-;9:-,0:-;1:-;2:2;3:-;4:1|4;5:-;6:-;7:-;8:-;9:-,2@0=1;2@2=2;2@4=1;2@8=1;4@4=1;4@1=1,"0,2,4,8,1",7,6,6,0,1.0,0.7643756862938091,1.0,0.06437568629380913,0.0,0.0,0.30000000000000004,0.02805304527282715,Feasible|selected=beam_search
41,40,7,4,3,"ADD:2,1;ADD:4,8;ADD:5,4;ADD:6,6;REMOVE:2,2;REMOVE:4,1;REMOVE:4,4",0:-;1:-;2:2;3:-;4:1|4;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:1;3:-;4:8;5:4;6:6;7:-;8:-;9:-,2@1=3;4@8=1;5@4=1;6@6=1,"1,8,4,6",6,4,4,0,1.0,0.6982641964775799,1.0,0.09826419647757981,0.0,0.0,0.4,0.029032230377197266,Feasible|selected=beam_search
42,41,7,4,3,"ADD:4,4;ADD:4,5;ADD:4,9;ADD:6,2;REMOVE:2,1;REMOVE:4,8;REMOVE:6,6",0:-;1:-;2:1;3:-;4:8;5:4;6:6;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:4|5|9;5:4;6:2;7:-;8:-;9:-,4@0=1;4@4=1;4@5=1;4@9=1;5@4=1;6@2=1,"0,4,5,9,2",6,6,6,0,1.0,0.4374974439750505,0.75,0.08749744397505053,0.0,0.0,0.4,0.030862092971801758,Feasible|selected=beam_search
43,42,7,2,5,"ADD:4,6;ADD:6,9;REMOVE:4,4;REMOVE:4,5;REMOVE:4,9;REMOVE:5,4;REMOVE:6,2",0:-;1:-;2:-;3:-;4:4|5|9;5:4;6:2;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:6;5:-;6:9;7:-;8:-;9:-,4@6=1;6@9=1,"6,9",2,2,2,0,1.0,0.9103170554626014,1.0,0.11031705546260136,0.0,0.0,0.2,0.2811319828033447,Feasible|selected=greedy
44,43,3,1,2,"ADD:4,2;REMOVE:4,6;REMOVE:6,9",0:-;1:-;2:-;3:-;4:6;5:-;6:9;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,4@2=1,2,1,1,1,0,1.0,0.9833080284851511,1.0,0.08330802848515109,0.0,0.0,0.1,0.20861482620239258,Feasible|selected=greedy
45,44,2,1,1,"ADD:4,8;REMOVE:4,2",0:-;1:-;2:-;3:-;4:2;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@2=1;4@4=1;4@5=1;4@8=2,"2,4,5,8",5,4,4,0,1.0,0.9364107410954613,1.0,0.03641074109546118,0.0,0.0,0.1,0.12978911399841309,Feasible|selected=greedy
46,45,3,2,1,"ADD:4,7;ADD:6,2;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:2;7:-;8:-;9:-,4@0=1;4@1=1;4@4=1;4@9=2;6@2=1,"0,1,4,9,2",6,5,5,0,1.0,0.8166069763837323,1.0,0.016606976383732305,0.0,0.0,0.2,0.144028902053833,Feasible|selected=greedy
47,46,6,4,2,"ADD:3,4;ADD:4,8;ADD:5,1;ADD:6,8;REMOVE:4,7;REMOVE:6,2",0:-;1:-;2:-;3:-;4:7;5:-;6:2;7:-;8:-;9:-,0:-;1:-;2:-;3:4;4:8;5:1;6:8;7:-;8:-;9:-,3@4=1;4@2=1;4@8=1;5@1=1;6@5=1;6@6=1,"4,2,8,1,5,6",6,6,6,0,1.0,0.6478371652115312,1.0,0.047837165211531356,0.0,0.0,0.4,0.13018274307250977,Feasible|selected=greedy
48,47,3,0,3,"REMOVE:3,4;REMOVE:5,1;REMOVE:6,8",0:-;1:-;2:-;3:4;4:8;5:1;6:8;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:-;6:-;7:-;8:-;9:-,4@1=1;4@4=1,"1,4",2,2,2,0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.018118858337402344,Feasible|selected=beam_search
